time,x,y,z
0.013,0.01,0.08,1.01
0.013,0.01,0.07,1.04
0.013,0.02,0.08,1.05
0.014,0.01,0.07,1.05
0.023,0.02,0.07,1.04
0.023,0.02,0.07,1.02
0.024,0.02,0.07,1.01
0.024,0.01,0.07,1.00
0.042,0.02,0.07,1.00
0.042,0.01,0.07,0.99
0.042,0.01,0.07,1.00
0.043,0.02,0.07,1.02
0.061,0.02,0.07,1.02
0.062,0.02,0.07,1.02
0.062,0.02,0.08,1.01
0.062,0.03,0.07,1.02
0.083,0.03,0.08,1.01
0.083,0.03,0.08,1.01
0.084,0.02,0.08,1.01
0.084,0.02,0.07,1.01
0.105,0.02,0.08,1.02
0.106,0.02,0.08,1.01
0.106,0.03,0.08,1.00
0.107,0.01,0.07,1.00
0.123,0.01,0.07,1.00
0.123,0.02,0.08,1.00
0.124,0.01,0.07,0.99
0.124,0.04,0.08,0.99
0.142,0.04,0.07,1.00
0.143,0.04,0.08,1.01
0.143,0.04,0.08,1.01
0.144,0.03,0.07,1.01
0.162,0.03,0.07,1.01
0.163,0.02,0.08,1.01
0.164,0.03,0.08,1.02
0.164,0.02,0.07,1.02
0.182,0.02,0.08,1.04
0.183,0.02,0.08,1.03
0.183,0.02,0.08,1.04
0.184,0.03,0.09,1.03
0.206,0.02,0.09,1.04
0.206,0.02,0.08,1.04
0.207,0.03,0.08,1.04
0.207,0.03,0.09,1.04
0.225,0.03,0.09,1.03
0.226,0.02,0.09,1.03
0.226,0.03,0.09,1.02
0.226,0.03,0.10,1.01
0.243,0.04,0.10,1.00
0.243,0.03,0.09,1.01
0.244,0.03,0.09,1.01
0.244,0.03,0.09,1.01
0.263,0.04,0.10,1.00
0.263,0.05,0.09,1.00
0.264,0.05,0.10,1.01
0.264,0.06,0.09,1.01
0.283,0.05,0.09,1.01
0.284,0.06,0.10,1.01
0.284,0.06,0.10,1.02
0.285,0.06,0.10,1.01
0.303,0.06,0.10,1.02
0.304,0.07,0.10,1.02
0.305,0.06,0.10,1.02
0.305,0.06,0.10,1.02
0.324,0.06,0.10,1.01
0.325,0.06,0.10,1.01
0.325,0.07,0.10,1.01
0.326,0.07,0.10,1.01
0.344,0.06,0.10,1.01
0.345,0.06,0.10,1.02
0.345,0.07,0.11,1.02
0.345,0.06,0.10,1.02
0.364,0.06,0.10,1.03
0.365,0.06,0.10,1.03
0.365,0.06,0.09,1.05
0.365,0.05,0.10,1.05
0.384,0.06,0.09,1.04
0.385,0.07,0.10,1.05
0.385,0.06,0.09,1.04
0.386,0.06,0.10,1.05
0.407,0.06,0.10,1.05
0.408,0.06,0.10,1.05
0.408,0.06,0.11,1.04
0.409,0.06,0.11,1.04
0.425,0.06,0.11,1.03
0.426,0.06,0.11,1.03
0.427,0.05,0.11,1.02
0.427,0.06,0.11,1.01
0.445,0.05,0.11,1.00
0.446,0.05,0.10,1.00
0.446,0.07,0.11,0.99
0.447,0.07,0.10,1.00
0.465,0.06,0.10,1.00
0.466,0.06,0.11,1.00
0.466,0.07,0.09,1.00
0.467,0.06,0.09,0.99
0.490,0.05,0.08,0.99
0.490,0.06,0.08,0.98
0.491,0.06,0.07,0.98
0.492,0.07,0.06,0.98
0.505,0.07,0.07,0.97
0.510,0.07,0.06,0.98
0.512,0.08,0.06,0.98
0.512,0.07,0.06,1.01
0.525,0.07,0.06,1.02
0.526,0.08,0.05,1.03
0.527,0.06,0.05,1.05
0.527,0.06,0.06,1.05
0.557,0.06,0.05,1.07
0.558,0.05,0.05,1.09
0.559,0.05,0.05,1.09
0.559,0.04,0.05,1.10
0.572,0.04,0.05,1.11
0.572,0.05,0.04,1.10
0.573,0.05,0.04,1.08
0.573,0.05,0.03,1.05
0.589,0.06,0.03,1.03
0.590,0.07,0.03,1.01
0.590,0.07,0.01,0.98
0.591,0.09,0.01,0.96
0.607,0.10,0.01,0.93
0.608,0.10,0.01,0.93
0.609,0.11,-0.00,0.91
0.609,0.10,0.00,0.91
0.638,0.10,0.01,0.89
0.639,0.10,0.01,0.91
0.639,0.11,0.00,0.94
0.640,0.10,0.01,0.94
0.657,0.10,0.01,0.96
0.658,0.09,0.02,0.99
0.658,0.08,0.02,1.01
0.659,0.08,0.01,1.03
0.675,0.08,0.02,1.07
0.676,0.08,0.03,1.11
0.676,0.08,0.03,1.13
0.677,0.09,0.03,1.15
0.690,0.08,0.03,1.17
0.691,0.08,0.04,1.19
0.692,0.09,0.04,1.18
0.692,0.09,0.04,1.17
0.706,0.08,0.03,1.14
0.707,0.09,0.04,1.13
0.708,0.10,0.02,1.09
0.708,0.10,0.03,1.05
0.727,0.11,0.03,1.01
0.728,0.11,0.04,0.98
0.728,0.11,0.04,0.95
0.729,0.11,0.04,0.94
0.747,0.12,0.04,0.94
0.748,0.12,0.05,0.92
0.748,0.11,0.04,0.91
0.749,0.12,0.04,0.92
0.773,0.11,0.05,0.92
0.774,0.12,0.06,0.91
0.774,0.12,0.05,0.92
0.775,0.13,0.05,0.95
0.791,0.14,0.05,0.94
0.792,0.14,0.05,0.94
0.792,0.14,0.05,0.95
0.792,0.16,0.05,0.96
0.807,0.14,0.05,0.95
0.808,0.14,0.04,0.95
0.808,0.15,0.05,0.94
0.809,0.14,0.04,0.94
0.827,0.13,0.04,0.94
0.828,0.13,0.05,0.95
0.828,0.14,0.05,0.94
0.829,0.13,0.05,0.95
0.847,0.13,0.03,0.96
0.847,0.12,0.04,0.96
0.848,0.13,0.04,0.96
0.849,0.14,0.04,0.97
0.867,0.14,0.05,0.97
0.868,0.15,0.05,0.99
0.869,0.14,0.04,1.01
0.869,0.14,0.03,1.03
0.887,0.14,0.04,1.03
0.889,0.13,0.04,1.04
0.889,0.13,0.04,1.06
0.889,0.13,0.04,1.06
0.907,0.15,0.04,1.06
0.908,0.14,0.04,1.07
0.908,0.15,0.04,1.06
0.909,0.15,0.04,1.06
0.928,0.15,0.05,1.05
0.928,0.14,0.03,1.04
0.929,0.13,0.04,1.04
0.929,0.11,0.04,1.03
0.949,0.12,0.05,1.03
0.950,0.12,0.05,1.03
0.951,0.13,0.04,1.04
0.951,0.13,0.05,1.05
0.968,0.13,0.05,1.04
0.969,0.14,0.06,1.05
0.970,0.14,0.04,1.05
0.970,0.14,0.04,1.05
0.991,0.14,0.05,1.05
0.992,0.14,0.04,1.05
0.992,0.12,0.05,1.05
0.993,0.12,0.04,1.06
1.008,0.11,0.05,1.07
1.009,0.11,0.04,1.08
1.009,0.12,0.04,1.08
1.010,0.10,0.04,1.09
1.028,0.09,0.04,1.08
1.029,0.09,0.05,1.11
1.030,0.09,0.04,1.10
1.030,0.09,0.04,1.11
1.048,0.09,0.04,1.13
1.049,0.09,0.05,1.11
1.049,0.10,0.05,1.10
1.050,0.10,0.04,1.10
1.068,0.10,0.04,1.08
1.069,0.10,0.03,1.08
1.070,0.10,0.03,1.06
1.070,0.11,0.03,1.04
1.089,0.10,0.02,1.02
1.090,0.10,0.04,1.03
1.090,0.09,0.04,1.04
1.090,0.09,0.04,1.08
1.108,0.08,0.04,1.10
1.109,0.06,0.05,1.12
1.110,0.04,0.05,1.15
1.110,0.04,0.05,1.17
1.129,0.03,0.05,1.18
1.129,0.03,0.06,1.19
1.130,0.02,0.06,1.19
1.130,0.01,0.06,1.19
1.149,0.02,0.06,1.18
1.150,0.02,0.08,1.16
1.150,0.02,0.07,1.15
1.150,0.02,0.08,1.15
1.169,0.01,0.09,1.14
1.170,0.00,0.10,1.13
1.171,0.00,0.11,1.12
1.171,0.00,0.11,1.12
1.189,-0.00,0.13,1.11
1.190,0.00,0.13,1.12
1.190,0.01,0.14,1.11
1.191,-0.01,0.15,1.11
1.209,-0.01,0.15,1.09
1.210,-0.02,0.14,1.08
1.211,-0.02,0.14,1.05
1.211,-0.03,0.15,1.02
1.230,-0.04,0.15,0.99
1.231,-0.02,0.15,0.95
1.232,-0.02,0.15,0.92
1.232,-0.01,0.14,0.90
1.249,-0.00,0.14,0.90
1.250,0.01,0.14,0.88
1.250,-0.00,0.13,0.86
1.251,0.00,0.13,0.85
1.270,0.00,0.13,0.84
1.271,-0.00,0.12,0.83
1.271,0.01,0.13,0.84
1.272,0.01,0.12,0.87
1.290,0.02,0.13,0.89
1.291,0.03,0.13,0.91
1.292,0.03,0.12,0.94
1.292,0.01,0.12,0.95
1.310,-0.00,0.11,0.97
1.311,-0.02,0.11,0.98
1.311,-0.02,0.12,0.99
1.312,-0.02,0.12,1.00
1.330,-0.02,0.11,1.02
1.331,-0.01,0.11,1.03
1.332,-0.00,0.11,1.03
1.332,0.01,0.11,1.05
1.350,0.02,0.11,1.06
1.351,0.02,0.11,1.06
1.352,0.03,0.12,1.05
1.352,0.04,0.11,1.06
1.371,0.05,0.11,1.03
1.372,0.06,0.11,1.01
1.372,0.08,0.11,0.98
1.373,0.09,0.11,0.96
1.391,0.09,0.11,0.94
1.392,0.09,0.10,0.91
1.392,0.08,0.10,0.88
1.393,0.08,0.10,0.86
1.411,0.09,0.09,0.84
1.412,0.08,0.09,0.84
1.412,0.08,0.09,0.85
1.412,0.08,0.09,0.85
1.431,0.09,0.09,0.87
1.432,0.12,0.10,0.89
1.432,0.13,0.10,0.92
1.432,0.13,0.10,0.95
1.451,0.14,0.10,0.98
1.452,0.13,0.11,0.99
1.453,0.13,0.12,1.01
1.453,0.13,0.11,1.00
1.471,0.12,0.12,1.00
1.472,0.13,0.13,1.00
1.472,0.13,0.12,1.00
1.473,0.12,0.13,1.00
1.495,0.12,0.13,1.02
1.496,0.13,0.14,1.03
1.496,0.12,0.13,1.04
1.497,0.14,0.14,1.04
1.514,0.13,0.14,1.06
1.517,0.12,0.14,1.06
1.518,0.13,0.14,1.07
1.518,0.14,0.14,1.06
1.533,0.14,0.13,1.04
1.534,0.14,0.13,1.04
1.535,0.13,0.12,1.02
1.535,0.13,0.12,1.02
1.552,0.12,0.10,1.01
1.553,0.12,0.12,1.00
1.553,0.11,0.11,1.01
1.554,0.11,0.11,1.00
1.572,0.12,0.11,1.02
1.573,0.13,0.10,1.03
1.573,0.12,0.10,1.04
1.573,0.11,0.10,1.04
1.592,0.11,0.10,1.03
1.593,0.10,0.09,1.02
1.593,0.10,0.10,1.00
1.594,0.08,0.10,1.00
1.612,0.09,0.09,1.00
1.614,0.07,0.09,1.01
1.614,0.08,0.09,1.03
1.615,0.07,0.08,1.06
1.632,0.08,0.08,1.08
1.633,0.08,0.08,1.09
1.633,0.08,0.08,1.10
1.634,0.08,0.07,1.11
1.652,0.08,0.08,1.10
1.653,0.09,0.07,1.10
1.653,0.10,0.08,1.11
1.654,0.10,0.06,1.10
1.672,0.12,0.06,1.08
1.673,0.13,0.06,1.05
1.674,0.12,0.06,1.01
1.674,0.12,0.05,0.98
1.693,0.11,0.04,0.96
1.694,0.10,0.04,0.96
1.694,0.08,0.03,0.98
1.695,0.06,0.03,1.02
1.712,0.05,0.03,1.07
1.713,0.04,0.05,1.14
1.714,0.03,0.04,1.24
1.714,0.01,0.05,1.32
1.733,-0.01,0.06,1.41
1.734,-0.01,0.06,1.47
1.735,-0.02,0.07,1.54
1.736,-0.02,0.06,1.58
1.868,-0.02,0.07,1.58
1.869,-0.02,0.06,1.54
1.870,-0.03,0.06,1.51
1.870,-0.03,0.06,1.45
1.873,-0.03,0.05,1.38
1.874,-0.02,0.03,1.29
1.875,-0.02,0.03,1.19
1.875,-0.03,0.00,1.10
1.875,-0.02,-0.00,0.99
1.876,-0.02,-0.00,0.90
1.876,0.00,-0.02,0.82
1.876,0.01,-0.04,0.76
1.877,0.01,-0.04,0.70
1.877,0.02,-0.04,0.67
1.877,0.03,-0.04,0.65
1.878,0.04,-0.05,0.66
1.879,0.04,-0.04,0.69
1.879,0.05,-0.03,0.73
1.880,0.04,-0.02,0.79
1.880,0.05,-0.01,0.85
1.881,0.04,-0.00,0.93
1.881,0.04,0.01,1.00
1.881,0.04,0.01,1.06
1.882,0.04,0.02,1.10
1.882,0.04,0.01,1.13
1.882,0.03,0.02,1.13
1.883,0.02,0.03,1.13
1.890,0.01,0.02,1.10
1.891,0.01,0.02,1.06
1.892,0.01,0.03,1.01
1.892,0.01,0.02,0.97
1.908,0.02,0.03,0.93
1.909,0.03,0.02,0.91
1.909,0.03,0.02,0.89
1.910,0.03,0.01,0.85
1.932,0.04,0.02,0.82
1.933,0.06,0.04,0.80
1.933,0.08,0.03,0.78
1.934,0.09,0.04,0.75
1.949,0.10,0.04,0.74
1.950,0.12,0.05,0.73
1.950,0.13,0.04,0.72
1.951,0.13,0.04,0.70
1.969,0.14,0.05,0.70
1.970,0.16,0.04,0.70
1.970,0.16,0.04,0.71
1.970,0.16,0.03,0.73
1.991,0.16,0.01,0.76
1.992,0.16,0.01,0.79
1.992,0.17,-0.00,0.82
1.993,0.17,-0.00,0.86
2.009,0.17,0.00,0.88
2.014,0.16,0.00,0.92
2.015,0.16,-0.00,0.95
2.015,0.16,-0.00,0.99
2.038,0.16,0.00,1.02
2.039,0.16,-0.00,1.04
2.039,0.15,0.00,1.06
2.040,0.15,0.00,1.09
2.053,0.14,0.00,1.11
2.054,0.15,0.01,1.12
2.054,0.15,0.02,1.12
2.055,0.16,0.01,1.12
2.070,0.16,0.02,1.11
2.071,0.16,0.01,1.09
2.071,0.16,0.01,1.07
2.072,0.17,0.02,1.04
2.090,0.16,0.01,1.03
2.091,0.17,0.02,1.01
2.091,0.17,0.01,0.99
2.092,0.17,0.02,0.99
2.110,0.16,0.01,0.98
2.111,0.15,0.03,0.96
2.112,0.15,0.03,0.96
2.113,0.15,0.04,0.96
2.130,0.15,0.04,0.96
2.131,0.14,0.04,0.97
2.132,0.16,0.04,0.97
2.132,0.16,0.04,0.97
2.150,0.16,0.05,0.97
2.151,0.16,0.05,0.97
2.152,0.17,0.06,0.96
2.152,0.17,0.06,0.96
2.170,0.17,0.05,0.95
2.171,0.16,0.06,0.95
2.171,0.15,0.05,0.94
2.172,0.15,0.06,0.95
2.191,0.15,0.06,0.96
2.192,0.15,0.07,0.98
2.192,0.14,0.06,1.01
2.193,0.15,0.05,1.03
2.211,0.14,0.05,1.04
2.212,0.13,0.05,1.06
2.212,0.13,0.05,1.07
2.213,0.12,0.05,1.08
2.231,0.10,0.05,1.11
2.231,0.10,0.05,1.12
2.232,0.09,0.04,1.13
2.232,0.08,0.04,1.13
2.251,0.08,0.05,1.14
2.252,0.09,0.06,1.13
2.252,0.10,0.05,1.13
2.253,0.11,0.05,1.11
2.271,0.12,0.06,1.12
2.272,0.11,0.05,1.11
2.272,0.12,0.04,1.09
2.273,0.11,0.03,1.09
2.292,0.09,0.04,1.10
2.293,0.09,0.04,1.12
2.293,0.08,0.04,1.16
2.293,0.07,0.04,1.19
2.314,0.06,0.03,1.23
2.315,0.04,0.05,1.28
2.316,0.02,0.05,1.31
2.316,0.01,0.06,1.37
2.338,-0.01,0.06,1.40
2.340,-0.02,0.07,1.43
2.341,-0.03,0.08,1.47
2.341,-0.05,0.07,1.49
2.353,-0.06,0.08,1.49
2.353,-0.06,0.08,1.49
2.354,-0.06,0.09,1.48
2.354,-0.05,0.10,1.45
2.372,-0.03,0.10,1.40
2.372,-0.02,0.10,1.34
2.373,-0.01,0.10,1.25
2.373,0.02,0.10,1.15
2.392,0.03,0.10,1.05
2.393,0.03,0.10,0.93
2.393,0.01,0.12,0.83
2.394,0.01,0.12,0.74
2.412,0.00,0.10,0.67
2.413,0.01,0.11,0.61
2.414,0.03,0.10,0.57
2.414,0.03,0.11,0.57
2.432,0.04,0.10,0.60
2.433,0.05,0.10,0.64
2.434,0.06,0.11,0.68
2.435,0.06,0.10,0.74
2.458,0.09,0.11,0.80
2.459,0.08,0.11,0.87
2.460,0.06,0.11,0.93
2.460,0.03,0.11,1.00
2.473,0.01,0.10,1.05
2.473,-0.01,0.11,1.10
2.474,-0.00,0.11,1.13
2.474,0.00,0.10,1.15
2.493,0.00,0.10,1.15
2.494,0.01,0.09,1.15
2.495,0.02,0.09,1.12
2.495,0.03,0.09,1.10
2.514,0.03,0.09,1.05
2.519,0.04,0.08,1.00
2.519,0.03,0.08,0.98
2.519,0.04,0.08,0.95
2.533,0.05,0.09,0.94
2.534,0.07,0.09,0.91
2.535,0.08,0.10,0.89
2.535,0.08,0.10,0.88
2.553,0.10,0.11,0.86
2.553,0.10,0.10,0.84
2.554,0.12,0.10,0.83
2.554,0.12,0.10,0.81
2.576,0.12,0.09,0.80
2.577,0.12,0.09,0.79
2.577,0.13,0.08,0.76
2.577,0.13,0.08,0.75
2.596,0.12,0.09,0.74
2.597,0.12,0.09,0.75
2.597,0.12,0.09,0.75
2.598,0.12,0.10,0.76
2.613,0.13,0.09,0.77
2.614,0.15,0.10,0.80
2.615,0.16,0.10,0.82
2.616,0.17,0.10,0.85
2.633,0.19,0.10,0.86
2.634,0.19,0.09,0.88
2.635,0.20,0.09,0.89
2.636,0.19,0.09,0.90
2.653,0.19,0.08,0.91
2.654,0.18,0.08,0.91
2.655,0.17,0.08,0.93
2.655,0.17,0.08,0.94
2.674,0.18,0.07,0.97
2.675,0.18,0.08,0.98
2.675,0.18,0.09,1.01
2.676,0.19,0.09,1.03
2.697,0.19,0.09,1.03
2.697,0.20,0.09,1.04
2.698,0.20,0.09,1.03
2.698,0.20,0.08,1.04
2.715,0.21,0.08,1.03
2.716,0.19,0.08,1.03
2.716,0.20,0.08,1.04
2.717,0.19,0.07,1.04
2.734,0.19,0.08,1.04
2.735,0.18,0.09,1.04
2.736,0.18,0.07,1.03
2.736,0.19,0.07,1.04
2.754,0.19,0.07,1.04
2.755,0.18,0.07,1.07
2.755,0.17,0.06,1.08
2.756,0.18,0.07,1.10
2.774,0.18,0.07,1.11
2.775,0.17,0.06,1.11
2.776,0.17,0.08,1.14
2.776,0.17,0.08,1.16
2.795,0.16,0.07,1.18
2.796,0.16,0.08,1.21
2.796,0.14,0.09,1.22
2.796,0.14,0.08,1.23
2.815,0.13,0.07,1.22
2.816,0.12,0.08,1.21
2.816,0.11,0.07,1.20
2.817,0.11,0.08,1.18
2.835,0.10,0.07,1.18
2.836,0.11,0.07,1.18
2.836,0.11,0.08,1.17
2.836,0.12,0.07,1.16
2.855,0.10,0.07,1.13
2.856,0.09,0.07,1.07
2.856,0.08,0.05,1.04
2.857,0.07,0.06,1.02
2.875,0.05,0.05,1.03
2.876,0.01,0.05,1.06
2.877,-0.02,0.05,1.12
2.877,-0.03,0.07,1.17
2.896,-0.04,0.08,1.22
2.896,-0.05,0.09,1.29
2.897,-0.07,0.09,1.36
2.897,-0.07,0.10,1.43
2.915,-0.04,0.09,1.47
2.916,-0.03,0.10,1.47
2.916,-0.03,0.10,1.46
2.917,-0.04,0.09,1.40
2.935,-0.03,0.10,1.33
2.936,-0.01,0.08,1.26
2.936,0.01,0.08,1.17
2.936,0.01,0.06,1.07
